decimal_year,gmsl_mm,date
2012.26083422585,38.178,2012-04-05
2012.2879279180752,38.776,2012-04-15
2012.3150168204581,38.588,2012-04-25
2012.3421108378848,39.295,2012-05-05
2012.3691996065854,41.061,2012-05-15
2012.3962873427213,40.443,2012-05-25
2012.4233830054836,39.991,2012-06-03
2012.4504702445904,44.657,2012-06-13
2012.477566246975,43.202,2012-06-23
2012.5046634884407,42.899,2012-07-03
2012.5317536104537,46.143,2012-07-13
2012.558844002845,47.45,2012-07-23
2012.585932694171,45.158,2012-08-02
2012.613025560212,45.027,2012-08-12
2012.6401147145193,40.633,2012-08-22
2012.667207478656,44.062,2012-09-01
2012.6942970331208,42.303,2012-09-11
2012.7213896198136,45.24,2012-09-21
2012.7484209528673,44.646,2012-09-30
2012.7755707400584,45.569,2012-10-10
2012.8026576879683,42.743,2012-10-20
2012.829763557068,42.769,2012-10-30
2012.8568540220147,44.125,2012-11-09
2012.8839466450047,44.165,2012-11-19
2012.9110389041564,43.226,2012-11-29
2012.9381260571095,46.635,2012-12-09
2012.965216982476,43.814,2012-12-19
2012.992309476044,44.888,2012-12-29
2013.0194573242215,44.798,2013-01-08
2013.046622467452,44.892,2013-01-18
2013.0737765690733,47.24,2013-01-27
2013.100950450995,46.636,2013-02-06
2013.1281206453552,44.886,2013-02-16
2013.15529059668,46.616,2013-02-26
2013.1824745245765,48.36,2013-03-08
2013.209622971501,46.352,2013-03-18
2013.2322953866908,43.583,2013-03-26
2013.2683839342697,46.359,2013-04-08
2013.2911198685413,43.213,2013-04-17
2013.3182914572083,46.526,2013-04-27
2013.345441539686,47.23,2013-05-07
2013.3726153216642,44.69,2013-05-17
2013.399784499321,43.758,2013-05-26
2013.426944763821,43.785,2013-06-05
2013.4540899929264,43.423,2013-06-15
2013.4812803153873,45.034,2013-06-25
2013.5084491634855,43.994,2013-07-05
2013.5356136551131,43.701,2013-07-15
2013.5627800737968,45.273,2013-07-25
2013.589946950135,44.953,2013-08-04
2013.6171088790668,40.204,2013-08-14
2013.644277356521,40.503,2013-08-24
2013.6677231336444,43.234,2013-09-01
2013.704757536361,41.026,2013-09-15
2013.725769412636,41.775,2013-09-22
2013.7529400507924,42.627,2013-10-02
2013.780106813239,42.707,2013-10-12
2013.8072757705688,45.74,2013-10-22
2013.8344427870654,47.025,2013-11-01
2013.8616127259838,45.636,2013-11-11
2013.8887577883074,44.521,2013-11-21
2013.9159353175285,44.318,2013-12-01
2013.9431023676636,41.149,2013-12-11
2013.9702691908317,42.935,2013-12-21
2013.997434011152,44.805,2013-12-31
2014.0246009752514,44.796,2014-01-09
2014.0517644438792,45.864,2014-01-19
2014.0789342537355,45.184,2014-01-29
2014.1060987732562,46.95,2014-02-08
2014.133267869936,49.276,2014-02-18
2014.160445576394,49.687,2014-02-28
2014.187582410656,49.317,2014-03-10
2014.2147688765267,48.505,2014-03-20
2014.241937452022,48.181,2014-03-30
2014.2691024132855,47.867,2014-04-09
2014.2962674384157,47.871,2014-04-19
2014.3234295901307,45.385,2014-04-29
2014.3505989417076,45.484,2014-05-08
2014.3777605085659,45.93,2014-05-18
2014.4049299036674,47.075,2014-05-28
2014.4320740026587,46.87,2014-06-07
2014.4592594294063,48.468,2014-06-17
2014.4864091296347,49.933,2014-06-27
2014.5135869419998,50.544,2014-07-07
2014.5407662998066,50.404,2014-07-17
2014.5679260548034,47.636,2014-07-27
2014.5950893869958,49.686,2014-08-06
2014.622256824698,51.421,2014-08-16
2014.6494206656519,51.42,2014-08-26
2014.676587378386,49.574,2014-09-04
2014.7037510386904,49.571,2014-09-14
2014.7309218330442,46.691,2014-09-24
2014.7580862079017,48.402,2014-10-04
2014.785253173322,51.448,2014-10-14
2014.8124170384574,50.848,2014-10-24
2014.8395927490594,48.198,2014-11-03
2014.8667529742754,47.965,2014-11-13
2014.893919993037,44.697,2014-11-23
2014.9210663845713,46.724,2014-12-03
2014.9482531029194,54.872,2014-12-13
2014.9754163738485,51.66,2014-12-23
2015.002580129194,47.919,2015-01-01
2015.0297536591033,51.49,2015-01-11
2015.0569180781104,51.731,2015-01-21
2015.0840865459863,54.522,2015-01-31
2015.1112524369212,54.96,2015-02-10
2015.1384208274142,57.862,2015-02-20
2015.1655855771755,57.255,2015-03-02
2015.192752063799,55.474,2015-03-12
2015.2198836499654,54.657,2015-03-22
2015.2470780320848,56.534,2015-04-01
2015.2742501582775,57.723,2015-04-11
2015.3014103730318,57.231,2015-04-21
2015.328578947247,56.644,2015-04-30
2015.3557460862912,54.736,2015-05-10
2015.382913796524,53.967,2015-05-20
2015.4100785890325,57.087,2015-05-30
2015.4372395134596,58.048,2015-06-09
2015.464383133412,59.104,2015-06-19
2015.4915736806931,60.222,2015-06-29
2015.5187408515576,58.285,2015-07-09
2015.545905370651,59.099,2015-07-19
2015.5730714203528,59.293,2015-07-29
2015.6002373286574,61.415,2015-08-08
2015.627400084061,58.937,2015-08-18
2015.6545676440278,63.24,2015-08-27
2015.681736976344,63.313,2015-09-06
2015.7089019740597,61.146,2015-09-16
2015.7360677482548,61.718,2015-09-26
2015.7632350246313,62.389,2015-10-06
2015.7903995241388,63.101,2015-10-16
2015.8175706431246,64.67,2015-10-26
2015.8447345191505,61.282,2015-11-05
2015.8718962393245,57.904,2015-11-15
2015.8990643635796,60.978,2015-11-25
2015.926231541566,60.435,2015-12-05
2015.9533954326075,59.196,2015-12-14
2015.9805430729782,58.683,2015-12-24
2016.0077140830901,55.83,2016-01-03
2016.0347998930963,60.676,2016-01-13
2016.0618641108265,64.687,2016-01-23
2016.0889814825073,60.948,2016-02-02
2016.116078168252,63.959,2016-02-12
2016.1431713664183,62.937,2016-02-22
2016.1702618934721,63.414,2016-03-03
2016.1973558242448,62.324,2016-03-13
2016.224447967376,65.303,2016-03-23
2016.2515148574864,62.98,2016-04-02
2016.2786384640067,62.772,2016-04-11
2016.3056178426273,60.479,2016-04-21
2016.3329008282192,59.693,2016-05-01
2016.3598698545695,59.876,2016-05-11
2016.387045216639,59.893,2016-05-21
2016.4140768811324,62.493,2016-05-31
2016.4411732658245,61.826,2016-06-10
2016.4682627928223,63.351,2016-06-20
2016.4953526704146,61.835,2016-06-30
